,Head Office,Location,CoOrdinates,latitude,longitude
1,Allen Avenue 1,Lagos Lagos Island 100242 Nigeria,"6.455,3.394",9.0643305,7.4892974
3,Maitama 1,Abuja Municipal Area Council Federal Capital Territory 900001 Nigeria,"9.064,7.489",10.4621398,7.2239417932662775
6,Zuba,Abuja Municipal Area Council Federal Capital Territory 900001 Nigeria,"9.064,7.489",4.8416028,6.8604088
7,Bwari Main,Rivers Nigeria,"4.841,6.860",8.2151249,3.5642897
8,Port Harcourt,Oyo Nigeria,"8.215,3.564",6.4550575,3.3941795
9,Ibadan,Lagos Lagos Island 100242 Nigeria,"6.455,3.394",6.9788582,3.4389293
10,Matori,Ogun Nigeria,"6.978,3.438",49.1810037,-0.3698915
11,Sango Ota 1,Caen Calvados Normandie France métropolitaine 14000 France,"49.18,-0.36",7.0209686,5.0567477
15,Surulere,Lagos Lagos Island 100242 Nigeria,"6.455,3.394",10.3825318,7.8533226
16,Alaba,Kaduna Nigeria,"10.38,7.853",6.6076575,5.9722713
19,Ikeja,Ogun Nigeria,"6.978,3.438",13.0611195,5.3152203
20,Agbara,Sokoto Nigeria,"13.06,5.315",7.1168383,80.6760004
21,Sokoto,Delta State මහනුවර දිස්ත්‍රික්කය මධ්‍යම පළාත 20544 ශ්‍රී ලංකාව இலங்கை,"7.116,80.67",6.2183136,6.9531842
26,Lekki,Lagos Lagos Island 100242 Nigeria,"6.455,3.394",5.0322447,7.924791
27,Ikotun,Uyo Akwa Ibom Nigeria,"5.032,7.924",51.6245826,-0.5093885
28,Aka Rd (Uyo 2),The Cross Crosslands Mill End Maple Cross Three Rivers Hertfordshire East of England England WD3 9RQ United Kingdom,"51.62,-0.50",6.133234,6.792318
32,Ekpoma,Delta State මහනුවර දිස්ත්‍රික්කය මධ්‍යම පළාත 20544 ශ්‍රී ලංකාව இலங்கை,"7.116,80.67",5.489736,7.0341973
33,Warri,Owerri Owerri Municipal Imo 460242 Nigeria,"5.489,7.034",4.7629786,6.028898
34,Owerri,Bayelsa Nigeria,"4.762,6.028",7.067445,6.267666
35,Yenogoa,Auchi Etsako West Edo Nigeria,"7.067,6.267",8.0141334,10.7376336
36,Auchi,Taraba Nigeria,"8.014,10.73",7.6232482,5.22274
37,Jalingo,Ado-Ekiti Ekiti Nigeria,"7.623,5.222",5.4540953,7.5153071
38,Ado-Ekiti,Abia Nigeria,"5.454,7.515",8.483333,8.516667
39,Aba,Lafia Nasarawa Nigeria,"8.483,8.516",5.5324032,7.4924165
40,Lafia,Umuahia Umuahia North Abia Nigeria,"5.532,7.492",7.7791666,4.5538891
41,Umuahia,Osogbo Osun 230261 Nigeria,"7.758,4.575",7.802355,6.7430327
44,Zaria,Delta State මහනුවර දිස්ත්‍රික්කය මධ්‍යම පළාත 20544 ශ්‍රී ලංකාව இலங்கை,"7.116,80.67",8.4963657,4.5480484
45,Asaba,Ilorin Ilorin East Kwara 240212 Nigeria,"8.496,4.548",9.6187093,6.5475752
46,Ilorin,Minna Chanchaga Niger Nigeria,"9.618,6.547",10.38301,11.206567
51,Ojodu,Caen Calvados Normandie France métropolitaine 14000 France,"49.18,-0.36",46.3144754,11.0480288
